67012,0.0386356115,in
64479,0.0371752163,the
36956,0.0213068952,on
34276,0.0197617474,is
33478,0.0193016624,of
33360,0.0192336298,man
31100,0.0179306321,and
25865,0.0149124051,with
19858,0.0114490833,to
18483,0.0106563303,two
17286,0.0099662028,are
17228,0.0099327630,woman
15930,0.0091844042,at
15253,0.0087940814,people
12745,0.0073480999,an
10456,0.0060283823,young
10119,0.0058340857,wearing
8830,0.0050909158,his
8613,0.0049658050,white
8486,0.0048925834,for
8401,0.0048435769,dog
8334,0.0048049482,boy
8210,0.0047334563,black
8120,0.0046815670,playing
7888,0.0045478079,men
7842,0.0045212867,shirt
7796,0.0044947655,girl
7406,0.0042699119,sitting
7317,0.0042185992,while
7102,0.0040946415,blue
6772,0.0039043807,standing
6687,0.0038553742,red
6655,0.0038369246,group
6608,0.0038098269,street
6480,0.0037360288,down
6231,0.0035924684,walking
5513,0.0031785072,by
5243,0.0030228394,her
5217,0.0030078491,three
5025,0.0028971520,water
5000,0.0028827383,front
4957,0.0028579467,holding
4601,0.0026526958,from
4463,0.0025731322,women
4328,0.0024952983,child
4307,0.0024831908,up
4132,0.0023822949,little
4130,0.0023811418,one
4044,0.0023315587,looking
4009,0.0023113796,outside
3964,0.0022854349,out
3943,0.0022733274,through
3904,0.0022508420,children
3801,0.0021914576,play
3734,0.0021528289,as
3681,0.0021222719,person
3595,0.0020726888,it
3564,0.0020548158,large
3498,0.0020167637,green
3455,0.0019919722,their
3327,0.0019181741,brown
3320,0.0019141382,some
3297,0.0019008776,into
3288,0.0018956887,that
3135,0.0018074769,yellow
3081,0.0017763433,running
3070,0.0017700013,over
3066,0.0017676951,small
3049,0.0017578938,ball
2923,0.0016852488,this
2864,0.0016512325,riding
2699,0.0015561021,next
2691,0.0015514897,around
2591,0.0014938350,building
2567,0.0014799978,near
2552,0.0014713496,beach
2549,0.0014696200,table
2537,0.0014627014,you
2521,0.0014534766,hat
2499,0.0014407926,book
2480,0.0014298382,field
2476,0.0014275320,my
2389,0.0013773723,jumping
2349,0.0013543104,he
2347,0.0013531573,crowd
2337,0.0013473919,dressed
2332,0.0013445091,what
2303,0.0013277893,girls
2284,0.0013168348,other
2268,0.0013076101,grass
2265,0.0013058804,snow
2255,0.0013001150,dogs
2253,0.0012989619,another
2206,0.0012718641,me
2201,0.0012689814,sidewalk
2175,0.0012539912,four
2174,0.0012534146,orange
2123,0.0012240107,be
2102,0.0012119032,bike
2080,0.0011992191,jacket
2061,0.0011882647,city
2012,0.0011600139,stands
1968,0.0011346458,working
1893,0.0010914047,park
1892,0.0010908282,off
1890,0.0010896751,pink
1874,0.0010804503,add
1873,0.0010798738,air
1855,0.0010694959,sits
1841,0.0010614242,was
1839,0.0010602711,something
1812,0.0010447044,behind
1800,0.0010377858,stand
1786,0.0010297141,there
1764,0.0010170301,wall
1738,0.0010020398,find
1712,0.0009870496,camera
1696,0.0009778248,soccer
1686,0.0009720593,game
1683,0.0009703297,boys
1679,0.0009680235,talking
1670,0.0009628346,several
1668,0.0009616815,older
1659,0.0009564926,lady
1656,0.0009547629,restaurant
1640,0.0009455382,player
1631,0.0009403492,picture
1626,0.0009374665,food
1621,0.0009345837,top
1616,0.0009317010,plays
1600,0.0009224762,looks
1595,0.0009195935,guitar
1594,0.0009190170,together
1592,0.0009178639,playlist
1581,0.0009115218,has
1550,0.0008936489,walks
1541,0.0008884599,along
1538,0.0008867303,old
1521,0.0008769290,road
1517,0.0008746228,smiling
1485,0.0008561733,baby
1474,0.0008498312,background
1441,0.0008308052,car
1423,0.0008204273,walk
1419,0.0008181211,hair
1407,0.0008112026,dress
1399,0.0008065902,rock
1385,0.0007985185,doing
